Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
sumatera selatan - musi rawas,6,0.45,13.89,26.72,0.68,36.65,7.58,4.07,68.26,28.30,77.38,189,
sumatera selatan - musi banyuasin,6,0.62,15.84,14.36,2.50,33.05,7.86,5.97,68.84,23.00,77.89,179,
sumatera selatan - banyuasin,6,0.16,10.75,38.39,0.42,52.91,7.89,5.55,69.06,22.00,77.97,176,
sumatera selatan - ogan komering ulu timur,6,0.18,10.60,23.23,0.33,42.36,7.62,1.20,69.17,21.50,81.01,110,
sumatera selatan - ogan komering ulu selatan,5,0.37,11.12,51.63,6.16,49.26,7.94,4.27,67.07,24.80,74.46,233,
sumatera selatan - ogan ilir,5,0.92,13.82,42.79,0.85,29.38,7.96,1.67,65.60,29.20,73.28,250,
sumatera selatan - empat lawang,4,1.14,13.35,44.05,4.85,72.25,7.89,2.71,65.13,26.00,65.25,323,
sumatera selatan - penukal abab lematang ilir,5,1.49,12.91,16.48,0.33,37.94,6.51,2.12,68.33,20.20,72.46,257,
sumatera selatan - musi rawas utara,3,2.47,20.11,35.05,1.34,45.78,7.55,6.71,65.76,28.30,59.23,347,
sumatera selatan - kota palembang,6,0.00,11.34,12.54,0.00,2.44,10.94,0.04,71.01,16.10,74.71,54,
sumatera selatan - kota pagar alam,3,0.00,9.40,34.30,0.39,39.28,9.62,1.00,66.85,15.50,46.47,95,
sumatera selatan - kota lubuklinggau,4,0.00,13.23,21.25,0.01,33.42,9.47,0.30,69.39,22.80,53.71,93,
sumatera selatan - kota prabumulih,4,0.00,12.20,15.38,0.21,29.33,9.84,0.14,70.47,22.00,59.71,89,
bengkulu - bengkulu selatan,5,0.49,18.16,34.41,0.13,55.74,9.32,1.11,67.93,20.80,73.67,243,
bengkulu - rejang lebong,4,1.72,15.85,24.14,0.73,61.38,9.02,1.31,68.75,26.00,66.68,314,
bengkulu - bengkulu utara,3,3.48,11.61,26.01,0.42,54.15,8.24,3.15,68.27,20.70,58.31,353,
bengkulu - kaur,5,0.99,18.62,42.07,0.36,41.77,8.23,4.22,66.73,11.30,71.51,268,
bengkulu - seluma,5,0.76,18.72,28.10,1.46,72.94,8.12,2.38,67.90,24.70,68.54,299,
bengkulu - mukomuko,5,1.57,11.93,22.60,0.00,38.32,8.33,3.62,66.73,22.20,71.78,263,
bengkulu - lebong,5,0.41,12.00,37.32,0.58,46.33,8.59,3.65,63.40,23.30,74.86,224,
bengkulu - kepahiang,4,1.79,14.83,24.73,1.91,56.10,8.68,0.85,68.08,22.90,67.14,310,
bengkulu - bengkulu tengah,4,2.94,9.68,24.87,0.65,50.87,7.60,1.80,68.19,25.50,62.12,334,
bengkulu - kota bengkulu,5,0.00,17.89,8.20,0.05,13.23,11.67,0.06,70.20,22.20,65.29,81,
lampung - lampung selatan,6,0.31,14.19,27.47,0.32,24.91,7.74,1.03,69.42,16.30,81.81,94,
lampung - lampung tengah,6,0.16,11.99,26.61,0.34,39.77,7.66,1.46,69.87,20.80,81.07,108,
lampung - lampung utara,5,0.16,19.63,37.86,1.07,55.88,8.65,1.27,69.30,20.20,75.00,223,
lampung - lampung barat,5,0.83,12.82,24.57,0.33,50.04,8.15,2.17,67.65,22.70,74.34,236,
lampung - tulang bawang,6,0.13,9.67,21.18,0.00,24.40,7.95,2.47,70.01,9.50,86.25,18,
lampung - tanggamus,5,0.92,11.81,25.63,0.26,52.61,7.55,2.18,68.67,25.00,73.60,246,
lampung - lampung timur,6,0.16,15.08,26.83,0.08,27.72,7.95,2.09,70.78,15.30,82.78,79,
lampung - way kanan,6,0.24,13.09,31.15,0.49,47.27,7.54,2.68,69.46,20.70,78.34,172,
lampung - pesawaran,6,0.42,15.11,34.61,0.00,38.58,7.77,1.14,69.15,17.60,77.86,181,
lampung - pringsewu,6,0.49,10.11,26.15,0.12,15.85,8.18,0.38,70.27,19.00,84.14,48,
lampung - mesuji,6,0.12,7.54,16.62,0.95,21.83,7.60,3.30,68.26,21.80,85.62,28,
lampung - tulang bawang barat,6,0.14,8.32,19.15,0.10,62.73,7.91,1.64,70.03,22.10,79.84,138,
lampung - pesisir barat,5,0.40,14.81,31.59,4.14,62.91,8.71,4.78,63.66,22.80,71.71,265,
lampung - kota bandar lampung,6,0.00,9.11,10.90,0.19,11.87,10.91,0.03,71.42,19.40,73.41,62,
lampung - kota metro,6,0.00,8.93,11.70,0.00,14.78,11.03,0.04,71.66,19.70,73.35,64,
kepulauan bangka belitung - bangka,6,1.63,4.81,14.81,0.52,18.74,8.40,1.74,71.14,17.50,80.26,129,
kepulauan bangka belitung - belitung,4,5.00,7.15,9.38,0.08,6.11,8.52,2.50,71.10,13.80,61.55,336,
