Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
maluku utara - kepulauan sula,2,5.00,8.23,10.02,2.90,42.61,9.26,7.83,63.39,27.70,50.64,377,
maluku utara - halmahera timur,5,1.46,15.04,13.36,3.73,31.55,8.19,9.76,69.08,32.70,72.38,258,
maluku utara - pulau morotai,4,3.95,6.52,12.81,0.00,36.44,7.66,5.47,67.35,28.30,59.62,346,
maluku utara - pulau taliabu,2,5.00,7.49,18.67,23.87,56.98,7.72,6.28,62.22,35.20,44.39,389,
maluku utara - kota ternate,6,0.00,3.55,4.44,0.00,10.97,11.59,0.09,71.06,24.00,81.32,27,
maluku utara - kota tidore kepulauan,4,0.00,6.58,10.32,0.20,38.35,10.06,1.82,69.43,25.10,55.94,91,
papua - merauke,6,0.16,10.16,15.97,5.76,29.95,8.77,46.54,67.07,28.30,80.10,133,
papua - jayawijaya,1,5.00,37.09,31.92,14.50,80.99,5.22,10.83,59.90,49.30,25.00,403,
papua - jayapura,5,2.11,12.13,7.91,1.47,28.98,9.60,12.56,67.16,29.50,70.62,280,
papua - nabire,5,1.90,23.83,18.62,4.03,18.10,9.54,12.80,68.15,20.60,69.19,296,
papua - kepulauan yapen,2,5.00,26.09,13.34,20.44,38.83,8.95,3.27,69.17,33.10,44.82,386,
papua - biak numfor,2,5.00,24.45,18.08,0.45,27.62,9.58,2.71,68.29,34.00,48.16,380,
papua - puncak jaya,1,5.00,36.00,54.85,96.76,78.24,3.45,35.46,65.33,33.30,19.34,411,
papua - paniai,1,5.00,36.59,10.73,19.15,100.00,3.83,8.27,66.62,32.10,27.91,402,
papua - mimika,6,0.71,14.17,22.09,6.89,18.15,9.65,12.22,72.36,31.50,80.55,117,
papua - sarmi,3,3.12,13.84,27.14,2.26,33.52,8.16,70.78,66.46,32.70,57.07,360,
papua - keerom,4,2.27,16.00,23.88,12.20,36.79,7.76,58.82,66.78,30.50,61.22,337,
papua - pegunungan bintang,1,5.00,30.46,45.58,52.93,78.47,3.73,18.14,64.54,55.40,24.10,405,
papua - yahukimo,1,5.00,37.64,63.88,34.17,69.25,3.69,60.61,66.05,43.60,22.31,410,
papua - tolikara,1,5.00,32.60,75.39,0.48,99.81,2.55,35.41,65.83,28.90,23.28,406,
papua - waropen,2,2.96,29.85,20.32,27.12,67.08,8.55,100.00,66.42,26.00,44.89,385,
papua - boven digoel,1,5.00,19.90,21.19,21.43,49.54,8.40,28.48,60.32,37.60,38.87,395,
papua - mappi,1,5.00,26.05,41.58,10.62,75.80,6.26,15.04,65.31,33.60,33.82,398,
papua - asmat,1,2.48,24.83,46.75,57.49,88.52,5.52,32.47,58.59,38.10,38.98,394,
papua - supiori,1,5.00,37.91,54.59,19.21,77.78,8.80,2.33,66.06,29.70,29.87,400,
papua - mamberamo raya,1,5.00,28.78,68.50,2.37,88.61,6.69,100.00,58.00,22.50,22.96,407,
papua - mamberamo tengah,1,5.00,36.76,86.49,23.36,100.00,3.57,16.53,63.75,42.40,18.14,414,
papua - yalimo,1,5.00,33.25,69.23,27.11,100.00,5.66,16.94,65.49,44.10,22.37,409,
papua - lanny jaya,1,5.00,38.73,89.61,23.43,99.58,3.70,6.39,66.11,38.60,19.18,412,
papua - nduga,1,5.00,37.18,70.67,40.85,96.18,3.94,10.90,55.43,38.80,15.66,416,
papua - puncak,1,5.00,36.26,72.22,19.75,95.46,1.48,46.83,65.86,48.30,18.27,413,
papua - dogiyai,1,5.00,28.81,23.59,74.80,93.51,3.37,45.56,65.85,42.90,22.93,408,
papua - intan jaya,1,5.00,41.66,65.91,15.76,100.00,1.89,35.33,65.69,46.90,17.21,415,
papua - deiyai,1,5.00,40.59,12.42,17.43,100.00,2.09,19.19,65.36,28.40,24.70,404,
papua - kota jayapura,6,0.00,11.39,5.14,0.00,1.93,11.41,0.40,70.52,22.90,74.64,56,
papua barat - sorong,2,5.00,27.78,15.41,1.81,45.74,8.74,7.58,66.22,28.70,43.19,390,
papua barat - manokwari,4,2.18,20.56,8.96,0.00,34.06,9.01,2.40,68.82,26.90,67.41,307,
papua barat - fakfak,2,5.00,22.86,17.28,4.48,44.30,10.33,16.05,68.50,26.00,46.63,383,
papua barat - sorong selatan,1,5.00,18.55,37.48,14.43,74.25,7.70,12.61,66.39,39.60,37.75,396,
papua barat - raja ampat,2,4.89,17.50,24.92,12.32,45.86,8.31,17.17,64.83,31.10,44.60,387,
papua barat - teluk bintuni,1,5.00,29.79,29.73,7.19,34.90,9.59,32.51,60.99,27.50,39.37,392,
papua barat - teluk wondama,1,5.00,31.61,30.41,8.88,77.43,8.47,9.45,60.24,31.00,31.95,399,
papua barat - kaimana,2,5.00,16.04,27.57,9.13,43.10,9.77,28.15,64.93,28.50,45.43,384,
papua barat - tambrauw,1,5.00,33.86,33.04,2.11,68.12,8.50,63.35,60.20,39.40,29.26,401,
papua barat - maybrat,1,5.00,31.39,7.59,0.22,61.90,10.50,22.57,65.25,34.50,39.33,393,
papua barat - manokwari selatan,5,0.98,29.30,21.87,3.25,27.52,8.60,14.88,67.60,28.50,69.46,292,
papua barat - pegunungan arfak,1,5.00,34.70,23.48,21.62,51.51,6.41,20.40,67.26,40.10,34.90,397,
papua barat - kota sorong,5,0.00,15.35,5.81,0.77,3.82,11.47,0.60,70.93,19.90,67.72,78,
